fold,model,mae_K1,rmse_K1,spearman_K1,mae_K2,rmse_K2,spearman_K2,mae_K3,rmse_K3,spearman_K3,mae_b12,mae_b23,spearman_b12,spearman_b23
0,A_isotonic_projected,0.3441828686528431,0.4348212351260401,0.06594544368628374,0.24319725624279967,0.32937325658746863,0.09636452598221502,0.17811447943876155,0.2590634749252147,-0.0006076987802663147,0.21249738794489675,0.12386461318084277,0.09895631439463254,0.001075562585755917
0,B_boosted_unprojected,0.31447677293633897,0.40219635661536945,0.34523181500126077,0.22503844414834065,0.3113998316624752,0.2777041534400196,0.1661210076688337,0.2534587601186657,0.2440567055848592,0.2108090429394997,0.12119446075421668,0.13898103314804142,0.11158444911935277
0,B_boosted_projected,0.3144780577746762,0.4021935587670551,0.3452667103361214,0.22501479096238491,0.31138478738013825,0.2776906894779412,0.16608691654057223,0.2534327166254686,0.2440776416205946,0.210702719540647,0.12107551523007783,0.1390627397878227,0.11159393579365799
1,A_isotonic_projected,0.3265301665867021,0.41074353656851376,0.1395888197497848,0.23700814496740363,0.32193983459557535,0.0779019529813089,0.18291215325860002,0.2753824556312565,0.02172297127952577,0.19875674461301096,0.10812306958251436,0.10159077820478375,0.009630074021587717
1,B_boosted_unprojected,0.30612944844113,0.39213295142162713,0.287146928251051,0.2237857972092364,0.3030261284564184,0.22920784356691054,0.17632678250432418,0.2646673016039286,0.18503700420845798,0.21071196453374022,0.11055844382632886,0.06547782044242002,0.07169333500389188
1,B_boosted_projected,0.30649628031388393,0.3924446445112868,0.28522843046313495,0.22375097307310435,0.3028680310714901,0.22791605736464537,0.1759584540926011,0.2641126350440748,0.185493303424721,0.2099480711483539,0.11007006420981642,0.06578699608402774,0.07086284649829501
2,A_isotonic_projected,0.3964274494040214,0.5582757768531765,0.0228572828554299,0.269192973396837,0.40550617644996767,0.01573956314449685,0.20417177967748512,0.35046025981151935,-0.028030258782843164,0.2489281542895661,0.11853608785915597,0.060247325406857365,0.0641641609547643
2,B_boosted_unprojected,0.34264993569473695,0.5249961615983172,0.44408995021227743,0.23323239474194166,0.384069572502029,0.36119808515701773,0.1801043838066992,0.33524184716247585,0.30902177302853717,0.23119111508117304,0.11167296524953452,0.26118322680004064,0.17078158995576767
2,B_boosted_projected,0.34271949033861865,0.5249779262795042,0.44406607046580193,0.2331735035175975,0.38407042094402993,0.3614321373145582,0.18005852043151505,0.33524423341387694,0.3088895627509255,0.23088966473267072,0.11149059561321192,0.2611528205741071,0.17130180646099777
3,A_isotonic_projected,0.3204783462407328,0.3906655739233346,0.022363537295218887,0.21977069673309596,0.26422258693188827,0.028544761269880845,0.15840072764524615,0.1973886749112864,0.029030951539810123,0.21309026330540037,0.11362809483478732,0.02844056075088986,0.025988645466815334
3,B_boosted_unprojected,0.2815389778518941,0.3809392020795004,0.2559152056902929,0.19600226169542792,0.26488836962376683,0.20074517256921498,0.14279774264119338,0.20606790774415365,0.1346020171122345,0.19877230937751414,0.10537246001589308,0.07297560178300962,0.12397704042927003
3,B_boosted_projected,0.28160477483960583,0.3809718323366827,0.25611424985899217,0.19599233766133092,0.2646881468462452,0.20115707598080756,0.14262321983312018,0.2059013308318477,0.13408724599938415,0.19838889005739543,0.10481803235766636,0.07252878182706947,0.12440383752611331
4,A_isotonic_projected,0.3846124806489763,0.4959108937721847,-0.009621674838767153,0.2641446165083783,0.36058746103100975,0.012781556980260476,0.19340406032137025,0.28321893593563036,0.0014242896149413737,0.23830868835272517,0.12775989681826155,0.05574618374756061,0.04396500697079731
4,B_boosted_unprojected,0.3526569757751855,0.46520579372697585,0.38518219082011734,0.242057994236509,0.334474184125108,0.4086808384764835,0.17793029515957745,0.2632609029317929,0.41284629887892377,0.24049337484701483,0.13049181177418936,0.10816671584690644,0.07894892301269395
4,B_boosted_projected,0.3527288684417197,0.46522374916118153,0.3848581704505999,0.24194131285220327,0.3344037542551544,0.40902317512307684,0.1778618769120687,0.26319384523021944,0.41261932296518594,0.24011501259045837,0.1300976676167298,0.10807303397245926,0.07913967637209814
