checkpoint,K,M,logical_compute,unused_compute,verifier_calls,verifier_candidate_scores,notation,q,ratio,p_miss,ell,regret_mean,p_miss_times_ell,O_M,Q_empirical,delta_vs_psp,n_miss
10,1,20,254,2,2,21,20→1@10,0.15625,0.05,0.88315,0.6709427214247179,0.5925430644262396,0.5925430644262396,1.157033381826154,0.5644903173999144,-0.287122932969457,88315
10,2,14,248,8,2,16,14→2@10,0.15625,0.14285714285714285,0.69077,0.48634156119244903,0.33595016022490803,0.33595016022490803,1.087094572807234,0.7511444125823261,-0.1004688377870453,69077
10,3,9,252,4,2,12,9→3@10,0.15625,0.3333333333333333,0.47362,0.38555382340844724,0.18260600184270878,0.18260600184270878,0.9871176712234874,0.8045116693807786,-0.04710158098859285,47362
11,1,18,251,5,2,19,18→1@11,0.171875,0.05555555555555555,0.84704,0.6341152159256279,0.5371209524976439,0.5371209524976439,1.1373296244421893,0.6002086719445454,-0.251404578424826,84704
11,2,13,249,7,2,15,13→2@11,0.171875,0.15384615384615385,0.66593,0.4583013553825379,0.30519662158989347,0.30519662158989347,1.0714015655484908,0.7662049439585973,-0.08540830641077413,66593
11,3,8,247,9,2,11,8→3@11,0.171875,0.375,0.42434,0.37728417195205083,0.16009676552613325,0.16009676552613325,0.9576431964902141,0.7975464309640808,-0.05406681940529057,42434
12,1,17,256,0,2,18,17→1@12,0.1875,0.058823529411764705,0.82815,0.5835674113333373,0.48328135169570335,0.48328135169570335,1.1263040910332793,0.643022739337576,-0.20859051103179538,82815
12,2,12,248,8,2,14,12→2@12,0.1875,0.16666666666666666,0.63194,0.42542536945912734,0.2688433079760009,0.2688433079760009,1.0539855061268977,0.7851421981508968,-0.0664710522184746,63194
12,3,8,252,4,2,11,8→3@12,0.1875,0.375,0.40575,0.3647848730965504,0.1480114622589253,0.1480114622589253,0.9576431964902141,0.8096317342312889,-0.04198151613808254,40575
13,1,15,246,10,2,16,15→1@13,0.203125,0.06666666666666667,0.78613,0.5701504427670911,0.4482123675724934,0.4482123675724934,1.1013402406668893,0.6531278730943959,-0.1984853772749755,78613
13,2,11,245,11,2,13,11→2@13,0.203125,0.18181818181818182,0.59685,0.4234055770994226,0.25270961869179037,0.25270961869179037,1.0344853612548006,0.7817757425630103,-0.06983750780636111,59685
13,3,7,244,12,2,10,7→3@13,0.203125,0.42857142857142855,0.35939,0.35162659869878043,0.12637108330635471,0.1263710833063547,0.9226065065374334,0.7962354232310787,-0.05537782713829276,35939
14,1,14,246,10,2,15,14→1@14,0.21875,0.07142857142857142,0.77092,0.5682289826262586,0.43805908728623527,0.4380590872862353,1.087094572807234,0.6490354855209988,-0.20257776484837264,77092
14,2,11,254,2,2,13,11→2@14,0.21875,0.18181818181818182,0.58308,0.4155669806682536,0.2423087950880453,0.24230879508804531,1.0344853612548006,0.7921765661667554,-0.05943668420261605,58308
14,3,7,248,8,2,10,7→3@14,0.21875,0.42857142857142855,0.33971,0.3452541516182365,0.11728628784623113,0.11728628784623113,0.9226065065374334,0.8053202186912023,-0.046293031678169116,33971
15,1,13,244,12,2,14,13→1@15,0.234375,0.07692307692307693,0.76231,0.5497611476609071,0.41908842047338607,0.4190884204733861,1.0714015655484908,0.6523131450751047,-0.19930010529426667,76231
15,2,10,248,8,2,12,10→2@15,0.234375,0.2,0.55005,0.40767591005404885,0.22424213432522958,0.22424213432522958,1.0124176234370654,0.7881754891118359,-0.06343776125753553,55005
15,3,7,252,4,2,10,7→3@15,0.234375,0.42857142857142855,0.32381,0.3415048204238021,0.11058267590143135,0.11058267590143135,0.9226065065374334,0.812023830636002,-0.03958941973336938,32381
16,1,13,256,0,2,14,13→1@16,0.25,0.07692307692307693,0.7461,0.534665398108421,0.39891385352869285,0.39891385352869285,1.0714015655484908,0.6724877120197978,-0.17912553834957357,74610
16,2,10,256,0,2,12,10→2@16,0.25,0.2,0.52983,0.3964055108195993,0.2100275317975483,0.2100275317975483,1.0124176234370654,0.8023900916395171,-0.04922315872985428,52983
16,3,7,256,0,2,10,7→3@16,0.25,0.42857142857142855,0.29764,0.33732163085279826,0.10040041020702688,0.10040041020702688,0.9226065065374334,0.8222060963304065,-0.029407154038964878,29764
17,1,12,251,5,2,13,12→1@17,0.265625,0.08333333333333333,0.70826,0.5121713889993742,0.3627505079726968,0.36275050797269676,1.0539855061268977,0.6912349981542009,-0.16037825221517055,70826
17,2,9,247,9,2,11,9→2@17,0.265625,0.2222222222222222,0.47421,0.3856545152338675,0.18288122766905232,0.18288122766905232,0.9871176712234874,0.804236443554435,-0.04737680681493639,47421
17,3,6,243,13,2,9,6→3@17,0.265625,0.5,0.24574,0.33069072600305544,0.08126393900799085,0.08126393900799084,0.8798631142454642,0.7985991752374733,-0.05301407513189815,24574
18,1,11,244,12,2,12,11→1@18,0.28125,0.09090909090909091,0.66815,0.5019889352234597,0.33540390706955453,0.3354039070695546,1.0344853612548006,0.6990814541852461,-0.15253179618412527,66815
