model,fold,adaptive,Y_A,Y_B,Y_PSP,delta_vs_psp,delta_vs_A,delta_vs_B
ambiguity_g2,0,0.8871443576800404,0.8621281869289465,0.8884813465865097,0.9323227092409972,-0.0451783515609568,0.02501617075109388,-0.0013369889064691984
ambiguity_g2,1,0.7954853579811607,0.8205116171994596,0.7956087557203922,0.8677265965726576,-0.07224123859149696,-0.025026259218298957,-0.00012339773923158436
ambiguity_g2,2,0.8045955182270379,0.7905271281930851,0.804671392017533,0.8272887818641262,-0.022693263637088228,0.014068390033952901,-7.587379049509291e-05
ambiguity_g2,3,0.9424045322297374,0.938839644130948,0.9423950272347545,0.9664780003722292,-0.024073468142491762,0.0035648880987893808,9.504994982857674e-06
ambiguity_g2,4,0.6220243910555145,0.6003493988783797,0.6220243910555145,0.6684052613855223,-0.04638087033000775,0.02167499217713484,0.0
ambiguity_min_g2_g4,0,0.8873082284181146,0.8621281869289465,0.8884813465865097,0.9323227092409972,-0.04501448082288262,0.02518004148916807,-0.00117311816839501
ambiguity_min_g2_g4,1,0.7956087557203922,0.8205116171994596,0.7956087557203922,0.8677265965726576,-0.07211784085226539,-0.024902861479067374,0.0
ambiguity_min_g2_g4,2,0.804671392017533,0.7905271281930851,0.804671392017533,0.8272887818641262,-0.022617389846593134,0.014144263824447995,0.0
ambiguity_min_g2_g4,3,0.9423950272347545,0.938839644130948,0.9423950272347545,0.9664780003722292,-0.02408297313747462,0.0035553831038065233,0.0
ambiguity_min_g2_g4,4,0.6220243910555145,0.6003493988783797,0.6220243910555145,0.6684052613855223,-0.04638087033000775,0.02167499217713484,0.0
ridge,0,0.8884494262747117,0.8621281869289465,0.8884813465865097,0.9323227092409972,-0.043873282966285475,0.026321239345765208,-3.192031179787037e-05
ridge,1,0.801352383454566,0.8205116171994596,0.7956087557203922,0.8677265965726576,-0.06637421311809157,-0.019159233744893568,0.005743627734173809
ridge,2,0.8021120265712728,0.7905271281930851,0.804671392017533,0.8272887818641262,-0.025176755292853337,0.011584898378187792,-0.002559365446260201
ridge,3,0.9437487307090778,0.938839644130948,0.9423950272347545,0.9664780003722292,-0.02272926966315137,0.004909086578129775,0.0013537034743232508
ridge,4,0.6161347013817053,0.6003493988783797,0.6220243910555145,0.6684052613855223,-0.05227056000381708,0.0157853025033255,-0.00588968967380934
boost,0,0.8799325885002733,0.8621281869289465,0.8884813465865097,0.9323227092409972,-0.0523901207407238,0.017804401571326886,-0.008548758086236195
boost,1,0.8004326232482317,0.8205116171994596,0.7956087557203922,0.8677265965726576,-0.06729397332442606,-0.020078993951228054,0.004823867527839318
boost,2,0.7991199457764043,0.7905271281930851,0.804671392017533,0.8272887818641262,-0.028168836087721853,0.008592817583319274,-0.005551446241128721
boost,3,0.9451234024537495,0.938839644130948,0.9423950272347545,0.9664780003722292,-0.0213545979184797,0.006283758322801447,0.002728375218994923
boost,4,0.6040554430538847,0.6003493988783797,0.6220243910555145,0.6684052613855223,-0.06434981833163765,0.003706044175504932,-0.01796894800162991
